id,GPT_label,GPT_confidence,GPT_reasoning
10j4n7h,0,Low,"The post discusses obtaining a medical marijuana card for chronic pain but does not mention cannabis use, effects, or symptoms related to pain, anxiety, or sleep."
1ao0gdt,0,Low,"The post primarily discusses the process of applying for medical marijuana and anxiety related to the appointment, without explicitly mentioning cannabis's effects, usage, or its impact on pain, anxiety, or sleep symptoms."
1duea8k,1,Medium,"The post discusses cannabis use and describes feelings of calmness and a sense of existence, which relate to anxiety or mood regulation, but it does not explicitly mention pain, anxiety, or sleep issues."
1dumbpj,0,Low,"The post describes enhanced visual perception and enjoyment of scenery but does not explicitly mention cannabis's effects on pain, anxiety, or sleep, which are the targeted health concerns."
1duuzpu,1,High,"The post discusses a recent cannabis (THC-infused orange juice) experience and describes lingering effects such as feeling off/different, headaches, stomachaches, and lethargy, which relate to sleep and possibly anxiety symptoms following cannabis use."
1dv0wvt,1,High,"The post discusses ongoing effects (nausea, dizziness, feeling ""high"") after edible cannabis use, which relates to sleep or withdrawal symptoms, making it relevant."
1dxilkj,0,Low,"The post discusses a natural remedy for sinus issues and does not mention cannabis, pain, anxiety, or sleep related to cannabis use or withdrawal."
1eyn25v,1,High,"The post discusses a recent attempt to abstain from cannabis, mentions cravings, the emotional impact related to quitting, and the importance of avoiding relapse, all of which relate directly to cannabis use in the context of withdrawal, cravings, and mental health concerns associated with its use."
1ez9jnp,1,High,"The post discusses heavy cannabis use, dependence, sleep issues, and the user's concern about withdrawal, all related to sleep and cannabis use."
1f0lslj,0,Low,"The post discusses general mood and motivation issues after quitting weed but does not explicitly mention or relate these symptoms to pain, anxiety, or sleep concerns associated with cannabis use or withdrawal."
1f2yg5i,1,Medium,"The post discusses medical marijuana use in the context of a child's exposure and concerns about legal and social consequences, which relates to cannabis use and potential stress or anxiety, fitting the relevance criteria."
1f2za7b,1,High,"The post discusses exhaustion related to quitting cannabis, which is a withdrawal symptom affecting sleep and energy levels, aligning with the relevance criteria."
1fljgxt,0,Low,"The post mentions headaches but does not specify if they are related to cannabis use, withdrawal, or any of the target health concerns (pain, anxiety, sleep)."
1fm333m,1,High,"The post discusses depression and mood changes in relation to a cannabis abstinence period, which directly relates to the target conditions of depression and anxiety, indicating relevance."
1fx6g4u,1,Medium,"The post discusses flight anxiety and mentions using medications and edibles (which can include cannabis derivatives) to manage panic, directly relating to anxiety concerns."
1gk6i8r,1,Medium,"The post mentions using cannabis (a joint of cherry thud strain and CBD) to ease anxiety and discusses its effects, aligning with the relevance criteria related to anxiety."
grz0m5h,0,Low,"The post discusses personal patterns of cannabis use and its effects on mood and relaxation but does not explicitly mention or relate to pain, anxiety, or sleep concerns."
gsenp0y,1,Medium,"The post discusses cannabis (hash) and its sedative effect related to sleep, which aligns with the sleep concern in the relevance criteria."
gw8c5sb,0,Low,"The post mentions paranoia as a possible effect of THC but does not explicitly discuss its impact on pain, anxiety, or sleep, nor does it relate to therapeutic use or symptoms of these conditions."
gxmyg1u,0,Low,"The post discusses cannabis use for relaxation and energy but does not explicitly mention or relate to pain, anxiety, or sleep concerns."
hkfprtl,0,Low,"The post discusses a personal allergy to hops and suggests avoiding certain terpenes in cannabis, but it does not explicitly mention cannabis use for a health concern related to pain, anxiety, or sleep."
hlwb63d,0,Medium,"The post discusses cannabis effects related to anxiety but does not explicitly mention or focus on cannabis helping or worsening anxiety symptoms, nor does it address pain or sleep concerns directly."
hqw8ys6,0,Low,"The post mentions dreams but does not specify any relation to cannabis use, withdrawal, or the target health concerns (pain, anxiety, sleep)."
